English word,French word,Frequency
abuse,abuser de,76

desperate,désespéré,54

maiden,jeune fille,78

parts,les pièces,112

names,des noms,50

jewel,bijou,99

seeing,voyant,56

heart,cœur,1350

solemn,solennel,69

throat,gorge,78

utter,prononcer,121

kings,rois,150

claim,prétendre,187

morrow,demain,353

pride,fierté,112

prohibited,interdit,221

sickness,maladie,54

occasion,occasion,91

themselves,se,159

become,devenir,210

double,double,130

venice,venise,86

ladyship,Madame,45

hollow,creux,54

complete,Achevée,247

sorrow,chagrin,244

wolsey,Wolsey,101

swore,juré,60

elbow,coude,62

match,rencontre,119

syracuse,Syracuse,238

knife,couteau,56

noble,noble,754

equal,égal,69

rather,plutôt,323

encounter,rencontre,61

visit,visite,97

wrath,colère,73

charity,charité,55

praise,louange,239

sport,sport,168

being,étant,664

issue,problème,129

often,souvent,140

viola,alto,158

beggar,mendiant,125

sleep,sommeil,438

abide,respecter,45

painter,peintre,45

sharp,tranchant,90

devise,concevoir,57

fairy,Fée,58

attend,assister,416

familiar,familier,47

memory,Mémoire,58

blind,aveugle,105

hereafter,ci-après, par la suite,49

smile,sourire,125

fault,faute,280

provided,à condition de,259

sound,du son,333

public,Publique,71

weary,se lasser,87

another,un autre,455

hanging,pendaison,63

short,court,172

bears,ours,110

queen,reine,989

conduct,conduite,53

heard,entendu,364

egypt,Egypte,66

gower,gower,53

strike,la grève,205

cruel,cruel,100

fought,combattu,68

freely,librement,55

revenge,vengeance,189

armour,armure,57

worse,pire,178

ariel,Ariel,93

grieve,pleurer,71

merry,joyeux,170

dramatis,dramatis,36

commit,commettre,86

hands,mains,342

embrace,embrasse,84

fancy,fantaisie,68

shall,doit,3865

tailor,tailleur,58

water,eau,207

watch,regarder,266

making,fabrication,85

everything,tout,42

chain,chaîne,81

needs,Besoins,147

promise,promettre,160

excuse,excuse,86

dwell,habiter,73

duncan,Duncan,40

murther,aller plus loin,122

suddenly,tout à coup,50

forsooth,en vérité,48

stone,calcul,235

special,spécial,64

health,santé,120

dream,rêver,211

thought,pensée,682

grief,douleur,274

battle,bataille,146

cinna,cinna,40

mighty,puissant,117

nurse,infirmière,218

peril,péril,65

custom,Douane,72

undertake,entreprendre,51

holds,tient,93

fears,peurs,77

while,tandis que,437

affairs,affaires,68

think,pense,1368

shore,rive,85

believe,croyez,253

confess,avouer,185

their,leur,2108

awake,éveillé,87

picture,image,52

blessing,bénédiction,67

terms,termes,75

below,au dessous de,54

tribunes,tribunes,67

drunk,ivre,114

aside,de côté,468

danger,danger,224

afterwards,ensuite,38

yield,rendement,202

attended,assisté,46

darkness,obscurité,39

country,pays,243

small,petit,123

damned,damné,45

countess,comtesse,123

kneel,s'agenouiller,116

people,gens,232

reverence,révérence,44

intent,intention,74

round,rond,282

shine,éclat,109

speaks,parle,129

unworthy,indigne,36

degree,diplôme,65

beauty,beauté,233

courage,courage,89

state,Etat,405

black,noir,197

cromwell,Cromwell,44

thank,remercier,517

justice,Justice,265

thunder,tonnerre,90

voice,voix,213

endure,supporter,81

strange,étrange,365

bodies,corps,44

better,mieux,612

blest,heureux,84

laugh,rire,243

would,aurait,2456

smell,odeur,69

curse,malédiction,182

quality,qualité,58

beaten,battu,50

dreams,rêves,46

matter,matière,385

steal,voler,130

withal,avec,153

fourth,Quatrième,51

clothes,vêtements,41

lorenzo,Lorenzo,81

pedro,pedro,155

along,le long de,112

finds,trouve,42

presence,présence,107

commercial,commercial,442

account,Compte,57

grant,subvention,152

claud,claud,307

rogue,coquin,108

crown,couronne,395

learned,appris,56

general,général,236

begin,commencer,188

raise,élever,298

poison,poison,128

assure,assurer,71

which,lequel,2322

feast,le banquet,132

tempest,tempête,52

somerset,somerset,147

challenge,défi,57

brief,bref,114

tonight,ce soir,49

right,droite,878

burden,fardeau,62

several,nombreuses,106

yonder,là-bas,74

vantage,avantage,133

copies,copies,446

painted,peint,53

exeunt,sortir,1035

accuse,accuser,53

realm,domaine,60

second,seconde,585

mistress,maîtresse,461

staff,Personnel,532

early,de bonne heure,109

those,ceux,547

oliver,oliver,58

shows,montre,103

widow,veuve,142

behalf,nom,46

rotten,pourri,40

clown,pitre,355

serve,servir,463

business,Entreprise,236

forces,les forces,47

itself,lui-même,240

although,bien que,79

slender,mince,113

heels,talons,83

flood,inonder,59

valiant,vaillant,162

report,rapport,186

straight,tout droit,161

person,la personne,453

private,privé,74

might,pourrait,679

bishop,évêque,134

unknown,inconnue,44

protest,manifestation,67

letter,lettre,384

warlike,guerrier,58

demand,demande,89

dance,Danse,113

tedious,fastidieux,51

pandarus,Pandarus,188

haste,hâte,219

waste,déchets,75

infinite,infini,43

breed,race,110

living,vivant,123

trumpet,trompette,212

traitor,traitre,205

service,un service,485

leontes,leontes,150

toward,vers,177

worship,culte,133

clifford,Clifford,140

marriage,mariage,122

pretty,jolie,117

broke,cassé,383

library,bibliothèque,232

oxford,Oxford,57

asleep,endormi,60

glory,gloire,89

wonder,merveille,165

render,rendre,57

ferdinand,Ferdinand,53

action,action,234

bitter,amer,96

breast,Sein,117

enobarbus,énobarbus,154

project,projet,254

trick,tour,94

object,objet,54

forbear,ancêtre,65

fortune,fortune,485

excellent,excellent,125

priest,prêtre,92

slain,tué,127

thomas,Thomas,75

authority,autorité,55

knowing,connaissance,53

french,français,267

sweat,transpiration,53

thrive,prospérer,62

college,Université,227

pluck,cueillir,163

scorn,mépris,146

cheek,joue,243

deadly,mortel,51

hangs,bloque,37

rivers,rivières,59

sense,sens,187

figure,figure,66

knight,Chevalier,189

never,jamais,1023

bearing,palier,76

receive,recevoir,144

shortly,prochainement,46

still,encore,588

copyright,droits d'auteur,228

forest,forêt,98

minds,esprits,56

comfort,confort,254

particular,particulier,72

jealous,jaloux,96

anything,n'importe quoi,105

blows,coups,73

express,Express,70

includes,comprend,223

longer,plus long,112

rough,rugueux,634

youth,jeunesse,318

catch,capture,93

taken,pris,104

cominius,cominius,104

vengeance,vengeance,53

weapons,armes,42

kingdom,Royaume,127

julia,Julia,154

goodness,la bonté,56

master,Maître,991

abroad,à l'étranger,64

enter,entrer,2519

satisfied,satisfait,54

spring,printemps,91

thief,voleur,68

fiery,ardent,49

launce,lancer,165

hours,heures,141

slave,esclave,176

street,rue,133

naked,nu,56

grave,la tombe,244

milan,Milan,41

these,celles-ci,1394

because,car,187

according,selon,55

struck,frappé,84

spare,de rechange,68

dagger,dague,57

yourself,toi même,280

beard,barbe,124

dying,en train de mourir,54

brain,cerveau,154

guilty,coupable,71

therefore,par conséquent,627

acquainted,connaissance,43

answer,répondre,480

padua,Padoue,41

quite,assez,117

anger,colère,365

favour,favoriser,203

nought,néant,58

desert,désert,65

court,tribunal,474

whither,où,89

wounded,blessés,42

church,église,100

hazard,danger,47

instant,instant,85

title,Titre,121

awhile,quelque temps,102

ancient,ancien,82

sovereign,souverain,182

bright,brillant,82

mirth,gaieté,53

means,veux dire,264

heads,têtes,131

giving,donnant,65

permission,autorisation,225

piece,pièce,143

woman,femme,512

hateful,odieux,39

request,demande,85

stomach,estomac,62

clouds,des nuages,59

surrey,Surrey,51

cares,se soucie,36

bless,bénir,277

meeting,réunion,56

bassianus,bassianus,45

supper,souper,64

passion,la passion,147

worth,vaut,594

foolish,insensé,103

prologue,prologue,43

skill,compétence,62

doors,des portes,62

brains,cerveaux,49

strong,fort,279

hostess,hôtesse,112

dearest,très cher,56

behind,derrière,120

distributed,distribué,443

doctor,docteur,120

found,a trouvé,320

lands,terres,68

reignier,règne,49

suffer,souffrir,162

violent,violent,49

trouble,difficulté,133

ready,prêt,294

after,après,543

constant,constant,72

frame,Cadre,55

brave,courageux,223

commanded,commandé,40

disgrace,disgrâce,58

please,S'il vous plaît,449

respect,le respect,144

shadow,ombre,115

valour,valeur,101

other,autre,2845

minister,ministre,62

understand,comprendre,123

sacred,sacré,47

burning,brûlant,52

child,enfant,392

fellow,compagnon,445

mortal,mortel,147

fearful,craintif,99

neighbour,voisine,94

phebe,phebe,48

present,présent,443

clear,clair,86

scene,scène,807

unhappy,malheureux,39

judge,juge,121

brother,frère,734

policy,politique,45

young,Jeune,528

passage,passage,44

green,vert,122

dishonour,déshonorer,70

senator,sénateur,150

drown,noyer,110

lordship,seigneurie,128

faith,Foi,464

gross,brut,96

liberty,liberté,73

uncle,oncle,256

faces,visages,53

philip,Philippe,90

dispatch,envoi,92

little,peu,484

farewell,adieu,355

precious,précieux,79

measure,mesure,110

large,grand,104

wretch,misérable,153

stroke,accident vasculaire cérébral,64

captain,capitaine,206

exeter,Exeter,98

companion,un compagnon,55

throne,trône,75

doubt,doute,255

folly,folie,80

grown,grandi,68

monster,monstre,96

limbs,membres,49

turns,se tourne,73

glass,verre,83

sworn,juré,197

partly,partiellement,35

music,la musique,261

advantage,avantage,88

before,avant,840

between,entre,241

humour,humour,124

polixenes,polixènes,84

where,où,1873

speech,discours,163

chamber,chambre,220

pistol,pistolet,188

villain,scélérat,362

former,ancien,74

empty,vide,54

loose,ample,60

merchant,marchande,78

fresh,Frais,124

fight,bats toi,322

beast,la bête,130

gallant,galant,72

bedford,Bedford,49

subject,matière,172

capitol,Capitole,43

truly,vraiment,172

teeth,les dents,56

gentle,doux,1237

beyond,au-delà,60

stuff,des trucs,70

outward,vers l'extérieur,57

bastard,Connard,234

mouth,bouche,200

happy,heureux,243

office,Bureau,351

betray,trahir,68

blame,faire des reproches,94

niece,nièce,65

nothing,rien,640

commission,commission,52

denied,refusé,55

prayers,prières,85

brought,apporté,196

delight,délice,86

bounty,prime,42

coward,lâche,150

cunning,ruse,81

falls,des chutes,82

ladies,Dames,148

murder,meurtre,215

close,proche,168

through,par,284

suspect,suspect,53

triumph,triomphe,79

wings,ailes,57

cause,cause,549

write,écrire,162

credit,crédit,73

ourselves,nous-mêmes,188

wisdom,sagesse,105

quoth,quoth,66

common,commun,247

enemies,ennemis,111

warrant,mandat,195

silver,argent,72

enemy,ennemi,167

dolabella,Dolabella,39

chide,gronder,59

further,plus loin,194

paulina,paulina,86

machine,machine,224

stain,tache,116

times,fois,302

winter,hiver,84

profit,profit,65

fierce,féroce,44

angel,ange,345

maria,maria,169

wives,épouses,65

taste,goût,98

tears,larmes,294

walls,des murs,85

elder,aîné,50

condition,état,89

deliver,livrer,200

earth,Terre,380

count,compter,878

night,nuit,1216

crave,demander,73

despite,malgré,59

wrong,faux,379

poins,poins,103

question,question,177

whether,qu'il s'agisse,97

conscience,conscience,127

contempt,mépris,55

content,contenu,270

train,train,203

oaths,serments,87

truth,vérité,349

touch,toucher,315

birth,naissance,101

heaven,paradis,853

speed,la vitesse,287

carry,porter,113

grace,la grâce,719

depart,partir,98

protector,protecteur,61

intend,avoir l'intention,97

garden,jardin,62

banish,bannir,205

knave,fripon,239

counterfeit,contrefaire,69

purse,bourse,107

dinner,dîner,98

swift,rapide,100

malice,malice,72

borne,supporté,96

enough,assez,313

ulysses,Ulysse,114

unless,sauf si,155

cease,cesser,68

weight,poids,63

flower,fleur,103

loves,aime,225

image,image,74

within,dans,494

maids,servantes,48

others,autres,520

point,point,256

reason,raison,498

fetch,chercher,129

command,commander,291

secret,secret,114

should,devrait,1716

looks,regards,216

brook,ruisseau,93

course,cours,253

steward,intendant,50

plead,plaider,63

judgment,jugement,117

chair,chaise,46

prize,prix,56

weeping,larmes,62

porter,porter,52

sirrah,sirrah,148

doing,Faire,86

flies,mouches,62

humble,humble,94

remember,rappelles toi,200

mistake,erreur,53

download,Télécharger,221

plague,peste,110

forget,oublier,115

miranda,Miranda,65

absence,absence,55

chief,chef,223

season,saison,69

servant,serviteur,543

willing,prêt,94

knows,sait,213

farther,plus loin,43

shake,secouer,395

guard,garde,202

sought,recherché,40

contrary,contraire,47

perfect,parfait,114

durst,durst,51

cousin,cousin,287

silence,silence,114

tyrant,tyran,70

chance,chance,211

every,chaque,558

dreadful,horrible,61

entertainment,divertissement,38

store,boutique,72

drink,boisson,218

sometime,parfois,138

barren,Dénudé,43

works,travaux,250

bound,lié,229

enjoy,prendre plaisir,71

pompey,pompey,211

wound,blessure,211

flesh,la chair,142

yours,le tiens,609

devil,diable,293

proud,fier,249

offence,infraction,121

something,quelque chose,183

bones,des os,76

glorious,glorieux,43

ambition,ambition,49

disposition,disposition,51

lovers,les amoureux,61

place,endroit,525

world,monde,925

proclaim,proclamer,80

saying,en disant,63

hubert,Hubert,96

cross,traverser,126

senate,sénat,42

talbot,talbot,175

approach,approche,103

courtesy,courtoisie,66

lives,vies,213

repent,se repentir,77

tender,soumissionner,176

alone,seul,237

liege,Liege,145

midnight,minuit,43

edmund,Edmund,77

fashion,mode,125

proof,preuve,118

hundred,cent,120

shame,la honte,366

wrought,forgé,43

creature,créature,110

thing,chose,1713

marry,marier,377

forbid,interdire,86

membership,adhésion,221

proper,correct,100

coming,venir,172

cupid,Cupidon,60

cardinal,cardinal,172

avoid,éviter,52

